chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr2,chr2:183404400-183406800,ENSG00000115252,chr2:183003763-183004762,chr2:183387920-183388919,120
chr2,chr2:135575400-135577600,ENSG00000153086,chr2:135595117-135596116,chr2:135659605-135660604,120
chr16,chr16:84668600-84670000,ENSG00000103187,chr16:84598200-84599199,chr16:84651684-84652683,120
chr22,chr22:18122400-18124600,ENSG00000131100,chr22:18073902-18074901,chr22:18111585-18112584,120
chr15,chr15:40048600-40050400,ENSG00000150667,chr15:39891232-39892231,chr15:40075032-40076031,120
chr22,chr22:30988000-30988800,ENSG00000100029,chr22:30971612-30972611,chr22:31003071-31004070,120
chr2,chr2:230942200-230943600,ENSG00000163053,chr2:230898698-230899697,chr2:230933716-230934715,120
chrX,chrX:114769600-114771200,ENSG00000102024,chrX:114794501-114795500,chrX:114885182-114886181,120
chr13,chr13:49038800-49039800,ENSG00000139679,chr13:48962707-48963706,chr13:49018841-49019840,120
chr3,chr3:149214800-149215200,ENSG00000169903,chr3:149190761-149191760,chr3:149221069-149222068,120
chr10,chr10:13359400-13360000,ENSG00000226209,chr10:13349145-13350144,chr10:13350448-13351447,120
chr3,chr3:24009200-24011000,ENSG00000197885,chr3:23932151-23933150,chr3:23988083-23989082,120
chr7,chr7:128372600-128374000,ENSG00000128595,chr7:128378346-128379345,chr7:128411862-128412861,120
chr11,chr11:118123400-118125400,ENSG00000149573,chr11:118123118-118124117,chr11:118135252-118136251,120
chr11,chr11:66112600-66114800,ENSG00000174791,chr11:66096713-66097712,chr11:66104312-66105311,120
chr5,chr5:61895800-61898200,ENSG00000186105,chr5:61873562-61874561,chr5:61877276-61878275,120
chr14,chr14:63680400-63682800,ENSG00000126785,chr14:63669832-63670831,chr14:63759938-63760937,120
chr1,chr1:156425000-156426600,ENSG00000116604,chr1:156432519-156433518,chr1:156470621-156471620,120
chr7,chr7:122542800-122543800,ENSG00000081803,chr7:121957481-121958480,chr7:122526814-122527813,120
chr14,chr14:63689600-63691800,ENSG00000126785,chr14:63669832-63670831,chr14:63759938-63760937,120
chrX,chrX:99869200-99870600,ENSG00000102359,chrX:99898215-99899214,chrX:99926297-99927296,120
chr11,chr11:33768400-33770400,ENSG00000085063,chr11:33718807-33719806,chr11:33757992-33758991,120
chr16,chr16:58789200-58791200,ENSG00000125166,chr16:58740035-58741034,chr16:58768262-58769261,120
chr6,chr6:83760200-83762600,ENSG00000214479,chr6:83781692-83782691,chr6:83782855-83783854,120
chr8,chr8:41762400-41764200,ENSG00000029534,chr8:41509739-41510738,chr8:41754281-41755280,120
chr1,chr1:67147000-67148400,ENSG00000248458,chr1:67130547-67131546,chr1:67142711-67143710,120
chr5,chr5:138785800-138787200,ENSG00000170464,chr5:138743279-138744278,chr5:138780181-138781180,120
chrX,chrX:114781600-114783600,ENSG00000102024,chrX:114794501-114795500,chrX:114885182-114886181,120
chr2,chr2:197782800-197784600,ENSG00000197121,chr2:197696728-197697727,chr2:197792521-197793520,120
chr5,chr5:132940800-132941800,ENSG00000053108,chr5:132531147-132532146,chr5:132948256-132949255,120
chr12,chr12:56212400-56214400,ENSG00000123342,chr12:56228217-56229216,chr12:56236751-56237750,120
chr12,chr12:53712400-53714800,ENSG00000139637,chr12:53692470-53693469,chr12:53700962-53701961,120
chr11,chr11:102641600-102643800,ENSG00000118113,chr11:102581526-102582525,chr11:102597782-102598781,120
chr14,chr14:76040000-76042000,ENSG00000119686,chr14:76043960-76044959,chr14:76129558-76130557,120
chr12,chr12:52311000-52313400,ENSG00000139567,chr12:52299692-52300691,chr12:52317146-52318145,120
chr4,chr4:125600600-125601800,ENSG00000151458,chr4:125584207-125585206,chr4:125633888-125634887,120
chr13,chr13:102064400-102065200,ENSG00000102452,chr13:101705130-101706129,chr13:102068844-102069843,120
chr2,chr2:110906400-110908800,ENSG00000144063,chr2:110840447-110841446,chr2:110874144-110875143,120
chr4,chr4:125614800-125617200,ENSG00000151458,chr4:125584207-125585206,chr4:125633888-125634887,120
chr9,chr9:3461400-3461800,ENSG00000203286,chr9:3451305-3452304,chr9:3469182-3470181,120
chr1,chr1:151162800-151163800,ENSG00000163159,chr1:151141463-151142462,chr1:151167798-151168797,120
chr5,chr5:137050200-137051600,ENSG00000146021,chr5:136952189-136953188,chr5:137071780-137072779,120
chr1,chr1:78751600-78753400,ENSG00000122420,chr1:78768568-78769567,chr1:79005435-79006434,120
chr8,chr8:55375200-55376200,ENSG00000164736,chr8:55369495-55370494,chr8:55373449-55374448,120
chr1,chr1:120809200-120809600,ENSG00000188610,chr1:120836756-120837755,chr1:120855682-120856681,120
chr17,chr17:67145800-67147400,ENSG00000154262,chr17:67073843-67074842,chr17:67138030-67139029,120
chr14,chr14:24815800-24817200,ENSG00000129465,chr14:24804227-24805226,chr14:24809252-24810251,120
chr1,chr1:112923800-112924800,ENSG00000143079,chr1:112937803-112938802,chr1:113006079-113007078,120
chrX,chrX:114773600-114775000,ENSG00000102024,chrX:114794501-114795500,chrX:114885182-114886181,120
chr7,chr7:128409200-128410800,ENSG00000128595,chr7:128378346-128379345,chr7:128411862-128412861,120
chr6,chr6:13935200-13937200,ENSG00000180537,chr6:13923677-13924676,chr6:13980534-13981533,120
chr21,chr21:15730400-15731600,ENSG00000155304,chr21:15742436-15743435,chr21:15755806-15756805,120
chr16,chr16:82049400-82051800,ENSG00000086696,chr16:82067609-82068608,chr16:82132140-82133139,120
chr16,chr16:77479200-77479600,ENSG00000140873,chr16:77280710-77281709,chr16:77469012-77470011,120
chr10,chr10:70863600-70863800,ENSG00000122862,chr10:70846862-70847861,chr10:70864568-70865567,120
chr1,chr1:159759800-159762200,ENSG00000158716,chr1:159749722-159750721,chr1:159752334-159753333,120
chr11,chr11:102628200-102630200,ENSG00000166670,chr11:102640234-102641233,chr11:102651360-102652359,120
chr1,chr1:178704800-178705200,ENSG00000116191,chr1:178693300-178694299,chr1:178889239-178890238,120
chr2,chr2:110896000-110896600,ENSG00000144063,chr2:110840447-110841446,chr2:110874144-110875143,120
chrX,chrX:47541200-47543400,ENSG00000126756,chrX:47510197-47511196,chrX:47518561-47519560,121
chr5,chr5:10295400-10297000,ENSG00000150756,chr5:10225442-10226441,chr5:10250010-10251009,121
chr20,chr20:35790600-35792400,ENSG00000118705,chr20:35805813-35806812,chr20:35870023-35871022,121
chr21,chr21:39467000-39467600,ENSG00000184029,chr21:39322728-39323727,chr21:39493455-39494454,121
chr21,chr21:39463800-39465600,ENSG00000184029,chr21:39322728-39323727,chr21:39493455-39494454,121
chr3,chr3:43700800-43702400,ENSG00000160746,chr3:43395351-43396350,chr3:43733087-43734086,121
chr3,chr3:43716000-43716600,ENSG00000011198,chr3:43730605-43731604,chr3:43775864-43776863,121
chr6,chr6:28928200-28929600,ENSG00000204713,chr6:28869779-28870778,chr6:28891767-28892766,121
chr3,chr3:43700800-43702400,ENSG00000011198,chr3:43730605-43731604,chr3:43775864-43776863,121
chr19,chr19:10424800-10426200,ENSG00000105376,chr19:10399657-10400656,chr19:10407455-10408454,121
chr2,chr2:190635400-190636400,ENSG00000064933,chr2:190648107-190649106,chr2:190742356-190743355,121
chr4,chr4:123847800-123848800,ENSG00000170917,chr4:123808852-123809851,chr4:123844124-123845123,121
chr7,chr7:139887800-139888600,ENSG00000006459,chr7:139783546-139784545,chr7:139876836-139877835,121
chr19,chr19:41302000-41304400,ENSG00000167578,chr19:41283121-41284120,chr19:41302848-41303847,121
chr3,chr3:43710000-43712000,ENSG00000160746,chr3:43395351-43396350,chr3:43733087-43734086,121
chr9,chr9:100722800-100723400,ENSG00000136938,chr9:100744643-100745642,chr9:100778226-100779225,121
chr9,chr9:100723800-100725800,ENSG00000136938,chr9:100744643-100745642,chr9:100778226-100779225,121
chr9,chr9:100727400-100728200,ENSG00000136938,chr9:100744643-100745642,chr9:100778226-100779225,121
chr19,chr19:41302000-41304400,ENSG00000171570,chr19:41283147-41284146,chr19:41314104-41315103,121
chr3,chr3:43720400-43720600,ENSG00000011198,chr3:43730605-43731604,chr3:43775864-43776863,121
chr3,chr3:10166000-10167200,ENSG00000254999,chr3:10156276-10157275,chr3:10168875-10169874,121
chr19,chr19:12024600-12026000,ENSG00000196757,chr19:12034883-12035882,chr19:12061589-12062588,121
chr10,chr10:120943200-120945600,ENSG00000183605,chr10:120899279-120900278,chr10:120925180-120926179,121
chr21,chr21:39463800-39465600,ENSG00000198054,chr21:39492545-39493544,chr21:39560111-39561110,121
chr6,chr6:49632600-49633600,ENSG00000112077,chr6:49571871-49572870,chr6:49604553-49605552,121
chr2,chr2:190635400-190636400,ENSG00000128699,chr2:190634049-190635048,chr2:190649098-190650097,121
chr5,chr5:209800-210800,ENSG00000073578,chr5:217356-218355,chr5:256816-257815,121
chr11,chr11:125457800-125459600,ENSG00000149547,chr11:125438112-125439111,chr11:125454576-125455575,121
chr6,chr6:27768400-27769600,ENSG00000184825,chr6:27113861-27114860,chr6:27115318-27116317,121
chr10,chr10:75530000-75532000,ENSG00000176986,chr10:75503120-75504119,chr10:75531920-75532919,121
chr5,chr5:53558600-53559800,ENSG00000185305,chr5:53178775-53179774,chr5:53606413-53607412,121
chr2,chr2:70415000-70417200,ENSG00000115998,chr2:70376012-70377011,chr2:70475748-70476747,121
chr15,chr15:85172800-85174400,ENSG00000176371,chr15:85143217-85144216,chr15:85171028-85172027,121
chr6,chr6:27115400-27117800,ENSG00000185130,chr6:27774257-27775256,chr6:27775710-27776709,121
chr11,chr11:94224400-94226200,ENSG00000196371,chr11:94276017-94277016,chr11:94283064-94284063,121
chr1,chr1:53701200-53703600,ENSG00000157184,chr1:53661101-53662100,chr1:53679870-53680869,121
chr1,chr1:53683800-53685800,ENSG00000157184,chr1:53661101-53662100,chr1:53679870-53680869,121
chr19,chr19:12024600-12026000,ENSG00000197054,chr19:12034890-12035889,chr19:12091197-12092196,121
chr5,chr5:141479800-141481200,ENSG00000131507,chr5:141487070-141488069,chr5:141534006-141535005,121
chr1,chr1:150459000-150459600,ENSG00000225996,chr1:150520897-150521896,chr1:150524368-150525367,121
chr2,chr2:170708200-170710200,ENSG00000144357,chr2:170682968-170683967,chr2:170940642-170941641,121
chr3,chr3:43700200-43700400,ENSG00000160746,chr3:43395351-43396350,chr3:43733087-43734086,121
chr5,chr5:43082000-43082600,ENSG00000172262,chr5:43064278-43065277,chr5:43192124-43193123,121
chr7,chr7:99998000-99998800,ENSG00000146834,chr7:100025413-100026412,chr7:100031742-100032741,121
chr5,chr5:61717800-61719000,ENSG00000086189,chr5:61682081-61683080,chr5:61699767-61700766,121
chr8,chr8:82633800-82634800,ENSG00000164695,chr8:82643669-82644668,chr8:82671751-82672750,121
chr7,chr7:66087200-66087600,ENSG00000243335,chr7:66092868-66093867,chr7:66276447-66277446,121
chr12,chr12:7268800-7269200,ENSG00000139182,chr12:7281294-7282293,chr12:7311542-7312541,121
chr3,chr3:43716000-43716600,ENSG00000160746,chr3:43395351-43396350,chr3:43733087-43734086,121
chr16,chr16:75019000-75021400,ENSG00000186187,chr16:75031928-75032927,chr16:75144893-75145892,121
chrX,chrX:106438200-106439000,ENSG00000080572,chrX:106448862-106449861,chrX:106487474-106488473,121
chr21,chr21:15945000-15946200,ENSG00000155307,chr21:15856549-15857548,chr21:15955724-15956723,121
chr12,chr12:122373000-122373400,ENSG00000256950,chr12:122325715-122326714,chr12:122359377-122360376,121
chr12,chr12:2993200-2994800,ENSG00000078246,chr12:2985389-2986388,chr12:3050307-3051306,121
chr6,chr6:27210400-27211000,ENSG00000197903,chr6:27105073-27106072,chr6:27114620-27115619,121
chr20,chr20:35783800-35785200,ENSG00000101353,chr20:35728629-35729628,chr20:35807992-35808991,121
chr1,chr1:154907000-154908800,ENSG00000251246,chr1:155035224-155036223,chr1:155059284-155060283,121
chr1,chr1:154907000-154908800,ENSG00000143590,chr1:155035224-155036223,chr1:155060015-155061014,121
chr20,chr20:35795800-35797000,ENSG00000118705,chr20:35805813-35806812,chr20:35870023-35871022,121
chr11,chr11:5176000-5176400,ENSG00000171944,chr11:5151922-5152921,chr11:5153873-5154872,121
chr16,chr16:71875400-71876800,ENSG00000182149,chr16:71878899-71879898,chr16:71962914-71963913,121
chr2,chr2:170500400-170502200,ENSG00000144362,chr2:170549975-170550974,chr2:170558219-170559218,121
chr3,chr3:43710000-43712000,ENSG00000011198,chr3:43730605-43731604,chr3:43775864-43776863,121
chr10,chr10:60081200-60083600,ENSG00000072401,chr10:60093735-60094734,chr10:60130514-60131513,121
chr5,chr5:10293000-10294400,ENSG00000150756,chr5:10225442-10226441,chr5:10250010-10251009,121
chr7,chr7:73574000-73575600,ENSG00000106682,chr7:73587575-73588574,chr7:73611432-73612431,121
chr12,chr12:56661200-56662800,ENSG00000257727,chr12:56702626-56703625,chr12:56710121-56711120,121
chr7,chr7:108225600-108228000,ENSG00000128590,chr7:108209012-108210011,chr7:108215295-108216294,121
chr12,chr12:12525600-12527000,ENSG00000205791,chr12:12507342-12508341,chr12:12510002-12511001,121
chr17,chr17:79611400-79613000,ENSG00000185298,chr17:79632394-79633393,chr17:79640935-79641934,121
chr8,chr8:67585800-67587800,ENSG00000213865,chr8:67578850-67579849,chr8:67597800-67598799,121
chr8,chr8:28768400-28769400,ENSG00000147421,chr8:28746911-28747910,chr8:28922282-28923281,121
chr11,chr11:66278600-66280200,ENSG00000239306,chr11:66383053-66384052,chr11:66394819-66395818,121
chr11,chr11:225600-226400,ENSG00000142082,chr11:214458-215457,chr11:236932-237931,121
chr6,chr6:27787400-27788600,ENSG00000197903,chr6:27105073-27106072,chr6:27114620-27115619,121
chr19,chr19:58815000-58816200,ENSG00000174586,chr19:58864723-58865722,chr19:58874215-58875214,121
chr11,chr11:66358200-66360600,ENSG00000239306,chr11:66383053-66384052,chr11:66394819-66395818,121
chr3,chr3:43700200-43700400,ENSG00000011198,chr3:43730605-43731604,chr3:43775864-43776863,121
chr6,chr6:27118000-27118600,ENSG00000196747,chr6:27774899-27775898,chr6:27776430-27777429,121
chr1,chr1:151119600-151121400,ENSG00000163154,chr1:151128105-151129104,chr1:151132226-151133225,121
chr15,chr15:41836400-41837800,ENSG00000243789,chr15:42119283-42120282,chr15:42129780-42130779,121
chr12,chr12:7269600-7271800,ENSG00000139182,chr12:7281294-7282293,chr12:7311542-7312541,121
chr5,chr5:98288800-98289600,ENSG00000153922,chr5:98189908-98190907,chr5:98262241-98263240,121
chr4,chr4:79647200-79649600,ENSG00000138756,chr4:79696496-79697495,chr4:79837527-79838526,121
chr7,chr7:139896400-139898600,ENSG00000006459,chr7:139783546-139784545,chr7:139876836-139877835,121
chr2,chr2:113522600-113523800,ENSG00000115008,chr2:113530492-113531491,chr2:113542168-113543167,121
chr15,chr15:41836400-41837800,ENSG00000243708,chr15:42119283-42120282,chr15:42140346-42141345,121
chr7,chr7:139888800-139890400,ENSG00000006459,chr7:139783546-139784545,chr7:139876836-139877835,121
chr3,chr3:196170400-196172400,ENSG00000163960,chr3:196073533-196074532,chr3:196159346-196160345,121
chr7,chr7:108225600-108228000,ENSG00000135241,chr7:108109866-108110865,chr7:108210111-108211110,121
chrX,chrX:11122800-11123800,ENSG00000004961,chrX:11128421-11129420,chrX:11141199-11142198,121
chr7,chr7:77471600-77473600,ENSG00000006576,chr7:77427122-77428121,chr7:77586819-77587818,121
chr6,chr6:30635400-30637200,ENSG00000204564,chr6:30613816-30614815,chr6:30620988-30621987,121
chr11,chr11:28144200-28145800,ENSG00000121621,chr11:28041167-28042166,chr11:28129856-28130855,121
chr15,chr15:90782200-90783600,ENSG00000183208,chr15:90776040-90777039,chr15:90785316-90786315,121
chr19,chr19:17534200-17536400,ENSG00000130303,chr19:17512748-17513747,chr19:17516458-17517457,121
chr1,chr1:231184200-231184600,ENSG00000182118,chr1:231153704-231154703,chr1:231175993-231176992,121
chr20,chr20:34201800-34203800,ENSG00000214078,chr20:34212953-34213952,chr20:34252879-34253878,121
chr17,chr17:43132800-43133800,ENSG00000172992,chr17:43099708-43100707,chr17:43138474-43139473,121
chr7,chr7:86737200-86738400,ENSG00000135164,chr7:86780677-86781676,chr7:86825654-86826653,121
chr17,chr17:18199400-18201800,ENSG00000177302,chr17:18173742-18174741,chr17:18218322-18219321,122
chr1,chr1:45964000-45965200,ENSG00000070759,chr1:45808555-45809554,chr1:45956873-45957872,122
chr16,chr16:2609400-2611200,ENSG00000205923,chr16:2576081-2577080,chr16:2581421-2582420,122
chr17,chr17:5018800-5020800,ENSG00000167840,chr17:5007836-5008835,chr17:5026412-5027411,122
chr1,chr1:150027800-150030000,ENSG00000136631,chr1:150038369-150039368,chr1:150117506-150118505,122
chr20,chr20:39325400-39327000,ENSG00000204103,chr20:39313488-39314487,chr20:39317881-39318880,122
chr17,chr17:18199400-18201800,ENSG00000176994,chr17:18217624-18218623,chr17:18226518-18227517,122
chr11,chr11:62584800-62586000,ENSG00000185475,chr11:62553887-62554886,chr11:62557878-62558877,122
chr16,chr16:2609400-2611200,ENSG00000162066,chr16:2569358-2570357,chr16:2581424-2582423,122
chr7,chr7:73007600-73009000,ENSG00000106638,chr7:72982262-72983261,chr7:72993122-72994121,122
chr12,chr12:122989600-122991200,ENSG00000033030,chr12:122956417-122957416,chr12:122985519-122986518,122
chr11,chr11:62582200-62583400,ENSG00000185475,chr11:62553887-62554886,chr11:62557878-62558877,122
chr16,chr16:10855000-10855800,ENSG00000103274,chr16:10836643-10837642,chr16:10863209-10864208,122
chr9,chr9:86132600-86133400,ENSG00000172159,chr9:85856905-85857904,chr9:86153462-86154461,122
chr21,chr21:45764400-45766200,ENSG00000160226,chr21:45747827-45748826,chr21:45759286-45760285,122
chr17,chr17:18202200-18203000,ENSG00000177302,chr17:18173742-18174741,chr17:18218322-18219321,122
chr19,chr19:40042000-40044400,ENSG00000176401,chr19:40020630-40021629,chr19:40023495-40024494,122
chr17,chr17:48036000-48037400,ENSG00000108813,chr17:48045334-48046333,chr17:48052322-48053321,122
chr17,chr17:7776200-7778000,ENSG00000182224,chr17:7760064-7761063,chr17:7765601-7766600,122
chr2,chr2:111889200-111891600,ENSG00000153094,chr2:111875955-111876954,chr2:111926025-111927024,122
chr15,chr15:80186600-80188800,ENSG00000180953,chr15:80190182-80191181,chr15:80216045-80217044,122
chr17,chr17:72878400-72880600,ENSG00000161509,chr17:72837162-72838161,chr17:72857628-72858627,122
chr15,chr15:91436000-91437200,ENSG00000182511,chr15:91425925-91426924,chr15:91439007-91440006,122
chr2,chr2:112669400-112670800,ENSG00000153208,chr2:112655056-112656055,chr2:112787139-112788138,122
chr21,chr21:40745200-40747200,ENSG00000182093,chr21:40751170-40752169,chr21:40800455-40801454,122
chr12,chr12:57122200-57122600,ENSG00000025423,chr12:57144945-57145944,chr12:57181575-57182574,122
chr1,chr1:40368000-40369400,ENSG00000043514,chr1:40305723-40306722,chr1:40349184-40350183,122
chr19,chr19:50841400-50843200,ENSG00000131408,chr19:50831910-50832909,chr19:50886240-50887239,122
chr6,chr6:5287000-5289000,ENSG00000145982,chr6:5260277-5261276,chr6:5771814-5772813,122
chr6,chr6:5287000-5289000,ENSG00000214113,chr6:5101827-5102826,chr6:5261173-5262172,122
chr13,chr13:49123200-49125400,ENSG00000136161,chr13:49062095-49063094,chr13:49107370-49108369,122
chr15,chr15:80186600-80188800,ENSG00000257028,chr15:80214507-80215506,chr15:80217195-80218194,122
chr5,chr5:65029200-65029800,ENSG00000197860,chr5:64960755-64961754,chr5:65018863-65019862,122
chr17,chr17:18202200-18203000,ENSG00000176994,chr17:18217624-18218623,chr17:18226518-18227517,122
chr14,chr14:23377200-23379400,ENSG00000100461,chr14:23368854-23369853,chr14:23388394-23389393,122
chr19,chr19:47102400-47103600,ENSG00000160013,chr19:47122725-47123724,chr19:47128376-47129375,122
chr1,chr1:65435000-65435800,ENSG00000162434,chr1:65297912-65298911,chr1:65432188-65433187,122
chr1,chr1:153630200-153631200,ENSG00000169418,chr1:153650113-153651112,chr1:153666469-153667468,122
chr3,chr3:133253800-133256200,ENSG00000091527,chr3:133291574-133292573,chr3:133309106-133310105,122
chr1,chr1:203577600-203579800,ENSG00000058668,chr1:203594689-203595688,chr1:203713210-203714209,122
chr1,chr1:24058400-24060000,ENSG00000011007,chr1:24068645-24069644,chr1:24088550-24089549,122
chr12,chr12:76734000-76736400,ENSG00000179941,chr12:76737254-76738253,chr12:76742223-76743222,122
chr22,chr22:31393400-31395000,ENSG00000133422,chr22:31320117-31321116,chr22:31364285-31365284,122
chr2,chr2:114187400-114187800,ENSG00000136682,chr2:114194268-114195267,chr2:114253767-114254766,122
chr9,chr9:38625800-38626200,ENSG00000180071,chr9:38539566-38540565,chr9:38620658-38621657,122
chr2,chr2:191718200-191720600,ENSG00000115419,chr2:191744553-191745552,chr2:191830279-191831278,122
chr3,chr3:155587000-155588600,ENSG00000169359,chr3:155537813-155538812,chr3:155572219-155573218,122
chr19,chr19:50839800-50840600,ENSG00000131408,chr19:50831910-50832909,chr19:50886240-50887239,122
chr20,chr20:39332200-39334000,ENSG00000204103,chr20:39313488-39314487,chr20:39317881-39318880,122
chr16,chr16:2603600-2604400,ENSG00000205923,chr16:2576081-2577080,chr16:2581421-2582420,122
chr6,chr6:131450200-131452400,ENSG00000118507,chr6:131455806-131456805,chr6:131604676-131605675,122
chr3,chr3:4492400-4494000,ENSG00000144455,chr3:3741498-3742497,chr3:4508966-4509965,122
chr1,chr1:161717200-161719400,ENSG00000118217,chr1:161735084-161736083,chr1:161933861-161934860,122
chr16,chr16:56676400-56678800,ENSG00000205364,chr16:56665145-56666144,chr16:56667899-56668898,122
chr1,chr1:10038000-10039000,ENSG00000162444,chr1:10056264-10057263,chr1:10076079-10077078,122
chr19,chr19:36505600-36507200,ENSG00000205138,chr19:36485090-36486089,chr19:36487221-36488220,122
chr5,chr5:65029200-65029800,ENSG00000123213,chr5:65017023-65018022,chr5:65167554-65168553,122
chr3,chr3:49971000-49972400,ENSG00000004534,chr3:49976440-49977439,chr3:50137479-50138478,122
chr2,chr2:191714000-191715600,ENSG00000115419,chr2:191744553-191745552,chr2:191830279-191831278,122
chr3,chr3:111381800-111382400,ENSG00000240891,chr3:111392523-111393522,chr3:111565295-111566294,122
chr19,chr19:50891600-50891800,ENSG00000131408,chr19:50831910-50832909,chr19:50886240-50887239,122
chr8,chr8:30007000-30008200,ENSG00000177669,chr8:29988340-29989339,chr8:30002203-30003202,122
chr19,chr19:36483600-36485800,ENSG00000239382,chr19:36499022-36500021,chr19:36505142-36506141,122
chr2,chr2:172954400-172956400,ENSG00000115844,chr2:172963167-172964166,chr2:172967629-172968628,122
chr16,chr16:11907200-11908800,ENSG00000171490,chr16:11928056-11929055,chr16:11945443-11946442,122
chr11,chr11:66956400-66958600,ENSG00000179038,chr11:66962391-66963390,chr11:66964639-66965638,122
chr12,chr12:65165600-65167400,ENSG00000111490,chr12:65173589-65174588,chr12:65274813-65275812,122
chr9,chr9:21046400-21048400,ENSG00000188921,chr9:20994306-20995305,chr9:21031636-21032635,122
chr1,chr1:19647400-19649800,ENSG00000053371,chr1:19629459-19630458,chr1:19638641-19639640,122
chr9,chr9:115664800-115666000,ENSG00000119457,chr9:115640200-115641199,chr9:115653194-115654193,122
chr6,chr6:30529200-30531400,ENSG00000204590,chr6:30508154-30509153,chr6:30524952-30525951,122
chr19,chr19:54474400-54476000,ENSG00000130433,chr19:54494542-54495541,chr19:54515924-54516923,122
chr12,chr12:96429800-96432200,ENSG00000111144,chr12:96393606-96394605,chr12:96437299-96438298,122
chr5,chr5:6648600-6650600,ENSG00000145545,chr5:6632456-6633455,chr5:6669676-6670675,122
chr8,chr8:65511200-65511600,ENSG00000180828,chr8:65491814-65492813,chr8:65496182-65497181,122
chr20,chr20:55944400-55945400,ENSG00000132819,chr20:55965463-55966462,chr20:55984390-55985389,122
chr6,chr6:43602400-43603600,ENSG00000172432,chr6:43572053-43573052,chr6:43596900-43597899,122
chr19,chr19:16788000-16789600,ENSG00000072954,chr19:16770938-16771937,chr19:16800841-16801840,122
chr5,chr5:140001800-140003600,ENSG00000131495,chr5:140017325-140018324,chr5:140027371-140028370,122
chr11,chr11:62443600-62446000,ENSG00000168000,chr11:62456747-62457746,chr11:62477318-62478317,122
chr14,chr14:23788800-23790000,ENSG00000235194,chr14:23763852-23764851,chr14:23772058-23773057,122
chr1,chr1:10087000-10089000,ENSG00000162444,chr1:10056264-10057263,chr1:10076079-10077078,122
chr13,chr13:49130000-49132400,ENSG00000136161,chr13:49062095-49063094,chr13:49107370-49108369,122
chr10,chr10:135131800-135133400,ENSG00000198546,chr10:135120979-135121978,chr10:135166034-135167033,122
chr16,chr16:29800200-29801600,ENSG00000013364,chr16:29830715-29831714,chr16:29859356-29860355,122
chr19,chr19:40552800-40553400,ENSG00000197782,chr19:40574059-40575058,chr19:40596846-40597845,122
chr1,chr1:228297800-228300200,ENSG00000143774,chr1:228326663-228327662,chr1:228336686-228337685,122
chr19,chr19:50988200-50989400,ENSG00000142530,chr19:50969042-50970041,chr19:50980011-50981010,122
chr16,chr16:10854400-10854800,ENSG00000103274,chr16:10836643-10837642,chr16:10863209-10864208,122
chr6,chr6:111278400-111279600,ENSG00000197498,chr6:111302218-111303217,chr6:111349467-111350466,122
chr9,chr9:99770200-99771000,ENSG00000196312,chr9:99659348-99660347,chr9:99775863-99776862,122
chr22,chr22:21263400-21265000,ENSG00000099942,chr22:21270714-21271713,chr22:21308038-21309037,122
chr8,chr8:65461800-65463000,ENSG00000180828,chr8:65491814-65492813,chr8:65496182-65497181,122
chr10,chr10:103816000-103818400,ENSG00000166189,chr10:103824147-103825146,chr10:103827793-103828792,122
chr1,chr1:36284800-36286400,ENSG00000134698,chr1:36272773-36273772,chr1:36323492-36324491,122
chr1,chr1:160991400-160992800,ENSG00000215845,chr1:161006421-161007420,chr1:161008781-161009780,122
chr15,chr15:90447600-90449800,ENSG00000157823,chr15:90372831-90373830,chr15:90437575-90438574,122
chr11,chr11:64908400-64910200,ENSG00000162298,chr11:64888252-64889251,chr11:64902005-64903004,122
chrX,chrX:16136200-16136600,ENSG00000126010,chrX:16140679-16141678,chrX:16171145-16172144,122
chr1,chr1:42945200-42945800,ENSG00000186409,chr1:42928001-42929000,chr1:43120336-43121335,122
chr1,chr1:143930400-143931800,ENSG00000215784,chr1:143895452-143896451,chr1:143913144-143914143,123
chr14,chr14:57944400-57945400,ENSG00000100557,chr14:57935019-57936018,chr14:57960586-57961585,123
chr17,chr17:3721600-3723000,ENSG00000083457,chr17:3616922-3617921,chr17:3704538-3705537,123
chr7,chr7:75458600-75459800,ENSG00000005486,chr7:75470920-75471919,chr7:75518245-75519244,123
chr4,chr4:189048200-189049800,ENSG00000184108,chr4:189059573-189060572,chr4:189068898-189069897,123
chr9,chr9:123977800-123979400,ENSG00000119396,chr9:123939415-123940414,chr9:123985293-123986292,123
chr19,chr19:11637000-11639400,ENSG00000130176,chr19:11648532-11649531,chr19:11661139-11662138,123
chr14,chr14:20878800-20880800,ENSG00000185271,chr14:20895970-20896969,chr14:20903802-20904801,123
chr4,chr4:166272200-166273200,ENSG00000109472,chr4:166281346-166282345,chr4:166419473-166420472,123
chr12,chr12:53331600-53332800,ENSG00000170421,chr12:53289977-53290976,chr12:53343739-53344738,123
chr12,chr12:76409000-76410200,ENSG00000139289,chr12:76418227-76419226,chr12:76427713-76428712,123
chr2,chr2:27877800-27879000,ENSG00000198522,chr2:27850114-27851113,chr2:27874376-27875375,123
chr1,chr1:86952000-86954000,ENSG00000016490,chr1:86933051-86934050,chr1:86965973-86966972,123
chr22,chr22:50567400-50568600,ENSG00000100427,chr22:50496820-50497819,chr22:50524332-50525331,123
chr14,chr14:39715600-39717400,ENSG00000150526,chr14:39698435-39699434,chr14:39722860-39723859,123
